"RECORDING_SESSION_LABEL"	"TRIAL_INDEX"	"AVERAGE_ACCELERATION_X"	"AVERAGE_ACCELERATION_Y"	"AVERAGE_GAZE_X"	"AVERAGE_GAZE_Y"	"AVERAGE_INTEREST_AREAS"	"AVERAGE_INTEREST_AREA_DATA"	"AVERAGE_INTEREST_AREA_DISTANCE"	"AVERAGE_INTEREST_AREA_ID"	"AVERAGE_INTEREST_AREA_LABEL"	"AVERAGE_INTEREST_AREA_PIXEL_AREA"	"AVERAGE_IN_BLINK"	"AVERAGE_IN_SACCADE"	"AVERAGE_PUPIL_SIZE"	"AVERAGE_VELOCITY_X"	"AVERAGE_VELOCITY_Y"	"DATA_FILE"	"EYE_TRACKED"	"HTARGET_DISTANCE"	"HTARGET_FLAGS"	"HTARGET_X"	"HTARGET_Y"	"IP_DURATION"	"IP_END_EVENT_MATCHED"	"IP_END_TIME"	"IP_INDEX"	"IP_LABEL"	"IP_START_EVENT_MATCHED"	"IP_START_TIME"	"LEFT_ACCELERATION_X"	"LEFT_ACCELERATION_Y"	"LEFT_FIX_INDEX"	"LEFT_GAZE_X"	"LEFT_GAZE_Y"	"LEFT_INTEREST_AREAS"	"LEFT_INTEREST_AREA_DATA"	"LEFT_INTEREST_AREA_DISTANCE"	"LEFT_INTEREST_AREA_ID"	"LEFT_INTEREST_AREA_LABEL"	"LEFT_INTEREST_AREA_PIXEL_AREA"	"LEFT_IN_BLINK"	"LEFT_IN_SACCADE"	"LEFT_PUPIL_SIZE"	"LEFT_SACCADE_INDEX"	"LEFT_VELOCITY_X"	"LEFT_VELOCITY_Y"	"RESOLUTION_X"	"RESOLUTION_Y"	"RIGHT_ACCELERATION_X"	"RIGHT_ACCELERATION_Y"	"RIGHT_FIX_INDEX"	"RIGHT_GAZE_X"	"RIGHT_GAZE_Y"	"RIGHT_INTEREST_AREAS"	"RIGHT_INTEREST_AREA_DATA"	"RIGHT_INTEREST_AREA_DISTANCE"	"RIGHT_INTEREST_AREA_ID"	"RIGHT_INTEREST_AREA_LABEL"	"RIGHT_INTEREST_AREA_PIXEL_AREA"	"RIGHT_IN_BLINK"	"RIGHT_IN_SACCADE"	"RIGHT_PUPIL_SIZE"	"RIGHT_SACCADE_INDEX"	"RIGHT_VELOCITY_X"	"RIGHT_VELOCITY_Y"	"SAMPLE_BUTTON"	"SAMPLE_INDEX"	"SAMPLE_INPUT"	"SAMPLE_MESSAGE"	"TARGET_ACCELERATION_X"	"TARGET_ACCELERATION_Y"	"TARGET_VELOCITY_X"	"TARGET_VELOCITY_Y"	"TARGET_VISIBLE"	"TARGET_X"	"TARGET_Y"	"TIMESTAMP"	"TRIAL_LABEL"	"TRIAL_START_TIME"	"VIDEO_FRAME_INDEX"	"VIDEO_NAME"	"RT"	"SHOULD_WE_PLAY_ATTENTION_GETTER"	"SHOULD_WE_RECALIBRATE"	"Session_Name_"	"Trial_Index_"	"Trial_Recycled_"	"__trial_index__1"	"animacystatus"	"audiotarget"	"background_context"	"distractorimage"	"distractorloc"	"expt_index"	"full_carrier"	"novel_id"	"novelcolor"	"novelty"	"order"	"pl_carrier"	"pl_form"	"pl_punct"	"pl_sentence"	"pl_wav_index"	"practice"	"s_carrier"	"s_form"	"s_punct"	"s_sentence"	"s_wav_index"	"simple_pl_stim"	"simple_s_stim"	"target"	"targetimage"	"targetloc"	"targetside"	"test_index"	"trial"	"voicing"	"vowel_carrier"
"pl13"	1	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	"pl13.edf"	Left	579.70	.............	5114	3412	"7597"	true	"199629615"	"."	"Full Trial Period"	true	"199622018"	-208.57	-139.08	1	692.80	464.90	[]	.	.	.	.	.	0	0	358.00	.	2.18	1.23	44.90	44.90	.	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	.	.	11	127	.	.	.	.	.	.	.	.	199622038.00	"Trial: 1"	199622018	.	.	-1	0	0	pl13	1	False	NA	inanimate	65.wav	house	1_book_plural_left.png	(0, 0)	1	Can you find the in the house	!	NA	familiar	1	Can you find the	books	?	69. books... Can you find the books in the house?	69	y	Can you find the	book	?	65. book... Can you find the book in the house?	65	Can you find the books?	Can you find the book?	s	1_book_singular_left.png	(640, 512)	NA	NA	p1	voiced	in the house
"pl13"	1	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	"pl13.edf"	Left	579.80	.............	5114	3411	"7597"	true	"199629615"	"."	"Full Trial Period"	true	"199622018"	-231.74	-185.41	1	693.00	465.00	[]	.	.	.	.	.	0	0	359.00	.	1.67	0.89	44.90	44.90	.	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	.	.	12	127	.	.	.	.	.	.	.	.	199622040.00	"Trial: 1"	199622018	.	.	-1	0	0	pl13	1	False	NA	inanimate	65.wav	house	1_book_plural_left.png	(0, 0)	1	Can you find the in the house	!	NA	familiar	1	Can you find the	books	?	69. books... Can you find the books in the house?	69	y	Can you find the	book	?	65. book... Can you find the book in the house?	65	Can you find the books?	Can you find the book?	s	1_book_singular_left.png	(640, 512)	NA	NA	p1	voiced	in the house
"pl13"	1	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	"pl13.edf"	Left	579.80	.............	5114	3411	"7597"	true	"199629615"	"."	"Full Trial Period"	true	"199622018"	-231.28	-185.40	1	693.10	465.10	[]	.	.	.	.	.	0	0	359.00	.	1.11	0.45	45.00	44.90	.	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	.	.	13	127	.	.	.	.	.	.	.	.	199622042.00	"Trial: 1"	199622018	.	.	-1	0	0	pl13	1	False	NA	inanimate	65.wav	house	1_book_plural_left.png	(0, 0)	1	Can you find the in the house	!	NA	familiar	1	Can you find the	books	?	69. books... Can you find the books in the house?	69	y	Can you find the	book	?	65. book... Can you find the book in the house?	65	Can you find the books?	Can you find the book?	s	1_book_singular_left.png	(640, 512)	NA	NA	p1	voiced	in the house
"pl13"	1	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	"pl13.edf"	Left	579.80	.............	5114	3411	"7597"	true	"199629615"	"."	"Full Trial Period"	true	"199622018"	-254.40	-185.42	1	693.20	465.10	[]	.	.	.	.	.	0	0	360.00	.	0.50	0.00	45.00	44.90	.	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	.	.	14	127	.	.	.	.	.	.	.	.	199622044.00	"Trial: 1"	199622018	.	.	-1	0	0	pl13	1	False	NA	inanimate	65.wav	house	1_book_plural_left.png	(0, 0)	1	Can you find the in the house	!	NA	familiar	1	Can you find the	books	?	69. books... Can you find the books in the house?	69	y	Can you find the	book	?	65. book... Can you find the book in the house?	65	Can you find the books?	Can you find the book?	s	1_book_singular_left.png	(640, 512)	NA	NA	p1	voiced	in the house
"pl13"	1	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	"pl13.edf"	Left	579.80	.............	5114	3411	"7597"	true	"199629615"	"."	"Full Trial Period"	true	"199622018"	-254.40	-185.41	1	693.20	465.00	[]	.	.	.	.	.	0	0	361.00	.	-0.06	-0.45	45.00	44.90	.	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	.	.	15	127	.	.	.	.	.	.	.	.	199622046.00	"Trial: 1"	199622018	.	.	-1	0	0	pl13	1	False	NA	inanimate	65.wav	house	1_book_plural_left.png	(0, 0)	1	Can you find the in the house	!	NA	familiar	1	Can you find the	books	?	69. books... Can you find the books in the house?	69	y	Can you find the	book	?	65. book... Can you find the book in the house?	65	Can you find the books?	Can you find the book?	s	1_book_singular_left.png	(640, 512)	NA	NA	p1	voiced	in the house
"pl13"	1	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	"pl13.edf"	Left	579.80	.............	5114	3411	"7597"	true	"199629615"	"."	"Full Trial Period"	true	"199622018"	-208.16	-162.22	1	693.20	465.00	[]	.	.	.	.	.	0	0	362.00	.	-0.61	-0.84	45.00	44.90	.	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	.	.	16	127	.	.	.	.	.	.	.	.	199622048.00	"Trial: 1"	199622018	.	.	-1	0	0	pl13	1	False	NA	inanimate	65.wav	house	1_book_plural_left.png	(0, 0)	1	Can you find the in the house	!	NA	familiar	1	Can you find the	books	?	69. books... Can you find the books in the house?	69	y	Can you find the	book	?	65. book... Can you find the book in the house?	65	Can you find the books?	Can you find the book?	s	1_book_singular_left.png	(640, 512)	NA	NA	p1	voiced	in the house
"pl13"	1	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	"pl13.edf"	Left	579.80	.............	5114	3411	"7597"	true	"199629615"	"."	"Full Trial Period"	true	"199622018"	-184.98	-162.24	1	693.10	464.90	[]	.	.	.	.	.	0	0	363.00	.	-1.11	-1.28	45.00	44.90	.	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	.	.	17	127	.	.	.	.	.	.	.	.	199622050.00	"Trial: 1"	199622018	.	.	-1	0	0	pl13	1	False	NA	inanimate	65.wav	house	1_book_plural_left.png	(0, 0)	1	Can you find the in the house	!	NA	familiar	1	Can you find the	books	?	69. books... Can you find the books in the house?	69	y	Can you find the	book	?	65. book... Can you find the book in the house?	65	Can you find the books?	Can you find the book?	s	1_book_singular_left.png	(640, 512)	NA	NA	p1	voiced	in the house
"pl13"	1	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	"pl13.edf"	Left	579.80	.............	5114	3411	"7597"	true	"199629615"	"."	"Full Trial Period"	true	"199622018"	-138.74	-185.42	1	692.90	464.80	[]	.	.	.	.	.	0	0	364.00	.	-1.45	-1.67	45.00	44.90	.	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	.	.	18	127	.	.	.	.	.	.	.	.	199622052.00	"Trial: 1"	199622018	.	.	-1	0	0	pl13	1	False	NA	inanimate	65.wav	house	1_book_plural_left.png	(0, 0)	1	Can you find the in the house	!	NA	familiar	1	Can you find the	books	?	69. books... Can you find the books in the house?	69	y	Can you find the	book	?	65. book... Can you find the book in the house?	65	Can you find the books?	Can you find the book?	s	1_book_singular_left.png	(640, 512)	NA	NA	p1	voiced	in the house
"pl13"	1	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	"pl13.edf"	Left	579.90	.............	5114	3411	"7597"	true	"199629615"	"."	"Full Trial Period"	true	"199622018"	-46.27	-139.05	1	692.80	464.60	[]	.	.	.	.	.	0	0	364.00	.	-1.67	-2.01	45.00	44.90	.	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	.	.	19	127	.	.	.	.	.	.	.	.	199622054.00	"Trial: 1"	199622018	.	.	-1	0	0	pl13	1	False	NA	inanimate	65.wav	house	1_book_plural_left.png	(0, 0)	1	Can you find the in the house	!	NA	familiar	1	Can you find the	books	?	69. books... Can you find the books in the house?	69	y	Can you find the	book	?	65. book... Can you find the book in the house?	65	Can you find the books?	Can you find the book?	s	1_book_singular_left.png	(640, 512)	NA	NA	p1	voiced	in the house
"pl13"	1	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	"pl13.edf"	Left	579.90	.............	5114	3411	"7597"	true	"199629615"	"."	"Full Trial Period"	true	"199622018"	0.03	-23.17	1	692.60	464.40	[]	.	.	.	.	.	0	0	365.00	.	-1.78	-2.18	45.00	44.90	.	.	.	.	.	[]	.	.	.	.	.	.	.	.	.	.	.	.	20	127	.	.	.	.	.	.	.	.	199622056.00	"Trial: 1"	199622018	.	.	-1	0	0	pl13	1	False	NA	inanimate	65.wav	house	1_book_plural_left.png	(0, 0)	1	Can you find the in the house	!	NA	familiar	1	Can you find the	books	?	69. books... Can you find the books in the house?	69	y	Can you find the	book	?	65. book... Can you find the book in the house?	65	Can you find the books?	Can you find the book?	s	1_book_singular_left.png	(640, 512)	NA	NA	p1	voiced	in the house
