sub_id,x,y,t,trial_id
052212_2,NA,NA,8904.526,1
052212_2,NA,NA,8954.47,1
052212_2,NA,NA,9004.526,1
052212_2,NA,NA,9054.526,1
052212_2,NA,NA,9104.601,1
052212_2,NA,NA,9154.972,1
052212_2,NA,NA,9204.555,1
052212_2,NA,NA,9254.637,1
052212_2,NA,NA,9304.684,1
052212_2,NA,NA,9354.822,1
052212_2,NA,NA,9404.692,1
052212_2,NA,NA,9454.63,1
052212_2,NA,NA,9504.853,1
052212_2,NA,NA,9554.867,1
052212_2,NA,NA,9604.777,1
052212_2,NA,NA,9654.797,1
052212_2,NA,NA,9704.818,1
052212_2,NA,NA,9755.034,1
052212_2,NA,NA,9804.932,1
052212_2,NA,NA,9855.008,1
052212_2,NA,NA,9905.07,1
052212_2,NA,NA,9955.005,1
052212_2,NA,NA,10005.012,1
052212_2,NA,NA,10055.151,1
052212_2,NA,NA,10105.14,1
052212_2,NA,NA,10155.258,1
052212_2,NA,NA,10205.182,1
052212_2,NA,NA,10255.187,1
052212_2,NA,NA,10305.193,1
052212_2,NA,NA,10355.309,1
052212_2,NA,NA,10405.194,1
052212_2,NA,NA,10455.292,1
052212_2,NA,NA,10505.543,1
052212_2,NA,NA,10555.543,1
052212_2,NA,NA,10605.307,1
052212_2,NA,NA,10655.366,1
052212_2,NA,NA,10705.352,1
052212_2,NA,NA,10755.668,1
052212_2,NA,NA,10805.643,1
052212_2,NA,NA,10855.53,1
052212_2,NA,NA,10905.77,1
052212_2,NA,NA,10955.696,1
052212_2,NA,NA,11005.613,1
052212_2,NA,NA,11055.613,1
052212_2,NA,NA,11105.644,1
052212_2,NA,NA,11155.649,1
052212_2,NA,NA,11205.542,1
052212_2,NA,NA,11255.665,1
052212_2,NA,NA,11305.713,1
052212_2,NA,NA,11355.744,1
052212_2,NA,NA,11405.626,1
052212_2,NA,NA,11455.762,1
052212_2,NA,NA,11505.782,1
052212_2,NA,NA,11555.772,1
052212_2,NA,NA,11605.755,1
052212_2,NA,NA,11655.775,1
052212_2,NA,NA,11706.112,1
052212_2,NA,NA,11755.906,1
052212_2,NA,NA,11806.037,1
052212_2,NA,NA,11855.883,1
052212_2,NA,NA,11905.927,1
052212_2,NA,NA,11955.871,1
052212_2,NA,NA,12006.356,1
052212_2,NA,NA,12056.027,1
052212_2,NA,NA,12106.451,1
052212_2,NA,NA,12156.156,1
052212_2,NA,NA,12206.05,1
052212_2,NA,NA,12256.132,1
052212_2,NA,NA,12306.157,1
052212_2,NA,NA,12356.203,1
052212_2,NA,NA,12406.161,1
052212_2,NA,NA,12456.152,1
052212_2,NA,NA,12506.808,1
052212_2,NA,NA,12556.336,1
052212_2,NA,NA,12606.265,1
052212_2,NA,NA,12656.241,1
052212_2,NA,NA,12706.396,1
052212_2,NA,NA,12756.401,1
052212_2,NA,NA,12806.383,1
052212_2,NA,NA,12856.376,1
052212_2,NA,NA,12906.563,1
052212_2,NA,NA,12956.374,1
052212_2,NA,NA,13006.512,1
052212_2,NA,NA,13056.501,1
052212_2,NA,NA,13106.535,1
052212_2,NA,NA,13156.484,1
052212_2,NA,NA,13206.496,1
052212_2,NA,NA,13256.614,1
052212_2,NA,NA,13306.808,1
052212_2,NA,NA,13356.579,1
052212_2,NA,NA,13406.625,1
052212_2,NA,NA,13456.628,1
052212_2,NA,NA,13506.744,1
052212_2,NA,NA,13556.728,1
052212_2,NA,NA,13606.747,1
052212_2,NA,NA,13656.964,1
052212_2,NA,NA,13706.968,1
052212_2,NA,NA,13756.859,1
052212_2,NA,NA,13806.828,1
052212_2,NA,NA,13856.882,1
052212_2,NA,NA,13906.824,1
052212_2,NA,NA,13957.057,1
052212_2,NA,NA,14007.134,1
052212_2,NA,NA,14057.135,1
052212_2,NA,NA,14107.208,1
052212_2,NA,NA,14157.042,1
052212_2,NA,NA,14207.123,1
052212_2,NA,NA,14257.085,1
052212_2,NA,NA,14307.504,1
052212_2,NA,NA,14357.122,1
052212_2,NA,NA,14407.15,1
052212_2,NA,NA,14457.356,1
