"sub_id","t","aoi","trial_id",""
"lmu_child01",1558583466250855,NA,"trial_sequence_A",NA
"lmu_child01",1558583466267521,NA,"trial_sequence_A",NA
"lmu_child01",1558583466284060,NA,"trial_sequence_A",NA
"lmu_child01",1558583466300726,NA,"trial_sequence_A",NA
"lmu_child01",1558583466317392,NA,"trial_sequence_A",NA
"lmu_child01",1558583466333913,NA,"trial_sequence_A",NA
"lmu_child01",1558583466350579,NA,"trial_sequence_A",NA
"lmu_child01",1558583466367168,NA,"trial_sequence_A",NA
"lmu_child01",1558583466383834,NA,"trial_sequence_A",NA
"lmu_child01",1558583466400417,NA,"trial_sequence_A",NA
"lmu_child01",1558583466417083,NA,"trial_sequence_A",NA
"lmu_child01",1558583466433927,NA,"trial_sequence_A",NA
"lmu_child01",1558583466450593,NA,"trial_sequence_A",NA
"lmu_child01",1558583466467259,NA,"trial_sequence_A",NA
"lmu_child01",1558583466484372,NA,"trial_sequence_A",NA
"lmu_child01",1558583466501038,NA,"trial_sequence_A",NA
"lmu_child01",1558583466518261,NA,"trial_sequence_A",NA
"lmu_child01",1558583466534927,NA,"trial_sequence_A",NA
"lmu_child01",1558583466550952,NA,"trial_sequence_A",NA
"lmu_child01",1558583466567618,NA,"trial_sequence_A",NA
"lmu_child01",1558583466584032,NA,"trial_sequence_A",NA
"lmu_child01",1558583466600698,NA,"trial_sequence_A",NA
"lmu_child01",1558583466617364,NA,"trial_sequence_A",NA
"lmu_child01",1558583466633790,NA,"trial_sequence_A",NA
"lmu_child01",1558583466650456,NA,"trial_sequence_A",NA
"lmu_child01",1558583466666985,NA,"trial_sequence_A",NA
"lmu_child01",1558583466683651,NA,"trial_sequence_A",NA
"lmu_child01",1558583466700247,NA,"trial_sequence_A",NA
"lmu_child01",1558583466716913,NA,"trial_sequence_A",NA
"lmu_child01",1558583466733509,NA,"trial_sequence_A",NA
"lmu_child01",1558583466750175,NA,"trial_sequence_A",NA
"lmu_child01",1558583466766841,NA,"trial_sequence_A",NA
"lmu_child01",1558583466783706,NA,"trial_sequence_A",NA
"lmu_child01",1558583466800372,NA,"trial_sequence_A",NA
"lmu_child01",1558583466817471,NA,"trial_sequence_A",NA
"lmu_child01",1558583466834137,NA,"trial_sequence_A",NA
"lmu_child01",1558583466851349,NA,"trial_sequence_A",NA
"lmu_child01",1558583466868015,NA,"trial_sequence_A",NA
"lmu_child01",1558583466884036,NA,"trial_sequence_A",NA
"lmu_child01",1558583466900702,NA,"trial_sequence_A",NA
"lmu_child01",1558583466917002,NA,"trial_sequence_A",NA
"lmu_child01",1558583466933668,NA,"trial_sequence_A",NA
"lmu_child01",1558583466950212,NA,"trial_sequence_A",NA
"lmu_child01",1558583466966878,NA,"trial_sequence_A",NA
"lmu_child01",1558583466983544,NA,"trial_sequence_A",NA
"lmu_child01",1558583467000070,NA,"trial_sequence_A",NA
"lmu_child01",1558583467016736,NA,"trial_sequence_A",NA
"lmu_child01",1558583467033335,NA,"trial_sequence_A",NA
"lmu_child01",1558583467050001,NA,"trial_sequence_A",NA
"lmu_child01",1558583467066667,NA,"trial_sequence_A",NA
"lmu_child01",1558583467083221,NA,"trial_sequence_A",NA
"lmu_child01",1558583467099887,NA,"trial_sequence_A",NA
"lmu_child01",1558583467116773,NA,"trial_sequence_A",NA
"lmu_child01",1558583467133439,NA,"trial_sequence_A",NA
"lmu_child01",1558583467150423,NA,"trial_sequence_A",NA
"lmu_child01",1558583467167089,NA,"trial_sequence_A",NA
"lmu_child01",1558583467183755,NA,"trial_sequence_A",NA
"lmu_child01",1558583467201019,NA,"trial_sequence_A",NA
"lmu_child01",1558583467217259,NA,"trial_sequence_A",NA
"lmu_child01",1558583467233888,NA,"trial_sequence_A",NA
"lmu_child01",1558583467250554,NA,"trial_sequence_A",NA
"lmu_child01",1558583467267139,NA,"trial_sequence_A",NA
"lmu_child01",1558583467283819,NA,"trial_sequence_A",NA
"lmu_child01",1558583467300485,NA,"trial_sequence_A",NA
"lmu_child01",1558583467317155,NA,"trial_sequence_A",NA
"lmu_child01",1558583467333821,NA,"trial_sequence_A",NA
"lmu_child01",1558583467350487,NA,"trial_sequence_A",NA
"lmu_child01",NA,NA,"trial_sequence_A",NA
"lmu_child01",1558583467367195,NA,"trial_sequence_A",NA
"lmu_child01",1558583467383861,NA,"trial_sequence_A",NA
"lmu_child01",1558583467400527,NA,"trial_sequence_A",NA
"lmu_child01",1558583467417220,NA,"trial_sequence_A",NA
"lmu_child01",1558583467433886,NA,"trial_sequence_A",NA
"lmu_child01",1558583467450552,NA,"trial_sequence_A",NA
"lmu_child01",1558583467467067,NA,"trial_sequence_A",NA
"lmu_child01",1558583467483733,NA,"trial_sequence_A",NA
"lmu_child01",1558583467500399,NA,"trial_sequence_A",NA
"lmu_child01",1558583467517245,NA,"trial_sequence_A",NA
"lmu_child01",1558583467533911,NA,"trial_sequence_A",NA
"lmu_child01",1558583467550708,NA,"trial_sequence_A",NA
