"sub_id","x","y","t","tria_id"
"lmu_child01",NA,NA,1558583466201855,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466217899,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466234565,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466250855,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466267521,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466284060,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466300726,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466317392,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466333913,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466350579,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466367168,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466383834,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466400417,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466417083,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466433927,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466450593,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466467259,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466484372,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466501038,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466518261,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466534927,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466550952,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466567618,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466584032,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466600698,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466617364,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466633790,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466650456,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466666985,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466683651,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466700247,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466716913,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466733509,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466750175,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466766841,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466783706,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466800372,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466817471,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466834137,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466851349,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466868015,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466884036,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466900702,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466917002,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466933668,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466950212,"trial_sequence_A"
"lmu_child01",NA,NA,1558583466966878,"trial_sequence_A"
